artist,name,date,time,currency,min_price,max_price,venue_name,venue_city,venue_state
Zach Bryan,Something in the Smokeshow - a tribute to Zach Bryan,2024-09-26,19:30:00,USD,15.0,18.0,High Noon Saloon,Madison,Wisconsin
Zach Bryan,Highway Boys - Zach Bryan Tribute & Guys with Guitars,2024-11-09,19:30:00,USD,15.0,15.0,Mulcahy's,Wantagh,New York
Zach Bryan,The Rock and Roll Playhouse plays the Music of Zach Bryan + More,2024-11-17,12:00:00,USD,16.0,16.0,Brooklyn Bowl,Brooklyn,New York
Zach Bryan,"Dalton & the Sheriffs Presents: The Zac(h)s, A celebration of the music of Zac Brown and Zach Bryan",2025-02-02,19:00:00,USD,20.0,35.0,Daryl's House,Pawling,New York
Billie Eilish,BILLIE EILISH: HIT ME HARD AND SOFT: THE TOUR,2024-10-16,19:00:00,USD,59.5,499.5,Madison Square Garden,New York,New York
Billie Eilish,BILLIE EILISH: HIT ME HARD AND SOFT: THE TOUR,2024-12-15,19:00:00,USD,59.5,499.5,Kia Forum,Inglewood,California
Billie Eilish,BILLIE EILISH: HIT ME HARD AND SOFT: THE TOUR,2024-10-05,19:00:00,USD,59.5,499.5,Wells Fargo Center,Philadelphia,Pennsylvania
Billie Eilish,BILLIE EILISH: HIT ME HARD AND SOFT: THE TOUR,2024-10-11,19:00:00,USD,59.5,499.5,TD Garden,Boston,Massachusetts
Billie Eilish,BILLIE EILISH: HIT ME HARD AND SOFT: THE TOUR,2024-10-04,19:00:00,USD,53.5,493.5,CFG Bank Arena,Baltimore,Maryland
Billie Eilish,BILLIE EILISH: HIT ME HARD AND SOFT: THE TOUR,2024-10-09,19:00:00,USD,69.5,499.5,Prudential Center,Newark,New Jersey
Billie Eilish,BILLIE EILISH: HIT ME HARD AND SOFT: THE TOUR,2024-10-18,19:00:00,USD,59.5,499.5,Madison Square Garden,New York,New York
Billie Eilish,BILLIE EILISH: HIT ME HARD AND SOFT: THE TOUR,2024-10-17,19:00:00,USD,59.5,499.5,Madison Square Garden,New York,New York
Billie Eilish,Club Level Seating: Billie Eilish,2024-11-19,19:00:00,USD,199.5,199.5,Ball Arena,Denver,Colorado
Billie Eilish,BILLIE EILISH: HIT ME HARD AND SOFT: THE TOUR,2024-11-02,19:00:00,USD,59.5,499.5,State Farm Arena,Atlanta,Georgia
Billie Eilish,BILLIE EILISH: HIT ME HARD AND SOFT: THE TOUR,2024-10-07,19:00:00,USD,59.5,499.5,Little Caesars Arena,Detroit,Michigan
Billie Eilish,Club Level Seating: Billie Eilish,2024-11-20,19:00:00,USD,199.5,199.5,Ball Arena,Denver,Colorado
Billie Eilish,BILLIE EILISH: HIT ME HARD AND SOFT: THE TOUR,2024-11-11,19:00:00,USD,69.5,499.5,Xcel Energy Center,Saint Paul,Minnesota
Billie Eilish,BILLIE EILISH: HIT ME HARD AND SOFT: THE TOUR,2024-11-13,19:00:00,USD,54.5,494.5,United Center,Chicago,Illinois
Billie Eilish,BILLIE EILISH: HIT ME HARD AND SOFT: THE TOUR,2024-12-10,19:00:00,USD,55.5,495.5,SAP Center at San Jose,San Jose,California
Billie Eilish,BILLIE EILISH: HIT ME HARD AND SOFT: THE TOUR,2024-12-17,19:00:00,USD,59.5,499.5,Kia Forum,Inglewood,California
Billie Eilish,BILLIE EILISH: HIT ME HARD AND SOFT: THE TOUR,2024-12-13,19:00:00,USD,54.5,494.5,Desert Diamond Arena,Glendale,Arizona
Billie Eilish,BILLIE EILISH: HIT ME HARD AND SOFT: THE TOUR,2024-11-10,19:00:00,USD,69.5,499.5,Xcel Energy Center,Saint Paul,Minnesota
Billie Eilish,BILLIE EILISH: HIT ME HARD AND SOFT: THE TOUR,2024-10-13,19:00:00,USD,66.25,475.75,PPG Paints Arena,Pittsburgh,Pennsylvania
Billie Eilish,BILLIE EILISH: HIT ME HARD AND SOFT: THE TOUR,2024-11-06,19:00:00,USD,53.3,492.5,Bridgestone Arena,Nashville,Tennessee
Luke Combs,Luke Combs: Live From The Gorge,2024-10-05,18:25:00,USD,75.0,234.5,Gorge Amphitheatre,George,Washington
Luke Combs,Luke Combs: Live From The Gorge,2024-10-04,18:25:00,USD,75.0,234.5,Gorge Amphitheatre,George,Washington
David Gilmour,David Gilmour: LUCK and STRANGE Tour,2024-10-29,19:30:00,USD,75.0,350.0,Hollywood Bowl,Hollywood,California
David Gilmour,David Gilmour: LUCK and STRANGE Tour,2024-10-25,19:30:00,USD,43.5,349.5,Intuit Dome,Inglewood,California
David Gilmour,David Gilmour: LUCK and STRANGE Tour,2024-10-30,19:30:00,USD,75.0,350.0,Hollywood Bowl,Hollywood,California
David Gilmour,David Gilmour: LUCK and STRANGE Tour,2024-11-04,19:30:00,USD,81.5,356.5,Madison Square Garden,New York,New York
David Gilmour,David Gilmour: LUCK and STRANGE Tour,2024-10-31,19:30:00,USD,75.0,350.0,Hollywood Bowl,Hollywood,California
David Gilmour,David Gilmour: LUCK and STRANGE Tour,2024-11-09,19:30:00,USD,91.5,356.5,Madison Square Garden,New York,New York
David Gilmour,David Gilmour: LUCK and STRANGE Tour,2024-11-05,19:30:00,USD,81.5,356.5,Madison Square Garden,New York,New York
David Gilmour,David Gilmour: LUCK and STRANGE Tour,2024-11-10,19:30:00,USD,91.5,356.5,Madison Square Garden,New York,New York
David Gilmour,David Gilmour: LUCK and STRANGE Tour,2024-11-06,19:30:00,USD,81.5,356.5,Madison Square Garden,New York,New York
Teddy Swims,Teddy Swims,2024-09-28,20:00:00,USD,29.0,109.0,Ovation Hall at Ocean Casino Resort ,Atlantic City,New Jersey
Teddy Swims,Teddy Swims,2024-10-13,20:00:00,USD,39.0,69.0,Choctaw Grand Theater,Durant,Oklahoma
Teddy Swims,Teddy Swims,2024-10-02,20:00:00,USD,167.5,172.5,Piedmont Hall,Greensboro,North Carolina
Teddy Swims,Teddy Swims,2024-10-10,20:00:00,USD,70.0,125.0,Seminole Hard Rock Tampa Event Center,Tampa,Florida
Teddy Swims,Teddy Swims,2024-09-24,20:00:00,USD,89.5,199.5,Landmark Theatre,Syracuse,New York
Teddy Swims,Teddy Swims,2024-10-08,20:00:00,USD,64.5,174.5,Savannah Civic Center - Johnny Mercer Theatre,Savannah,Georgia
Teddy Swims,Teddy Swims,2024-09-26,20:00:00,USD,39.5,129.5,The Palace Theatre Albany,Albany,New York
Teddy Swims,Teddy Swims,2024-10-19,20:00:00,USD,59.5,119.5,Harrah's Resort SoCal - The Events Center,Valley Center,California
Teddy Swims,Teddy Swims,2024-10-21,19:00:00,USD,59.5,59.5,House of Blues Anaheim,Anaheim,California
Teddy Swims,Teddy Swims,2024-10-22,19:00:00,USD,59.5,59.5,House of Blues Anaheim,Anaheim,California
Teddy Swims,Teddy Swims: Everything But Therapy,2024-10-03,19:30:00,USD,99.5,224.5,Tennessee Theatre,Knoxville,Tennessee
Teddy Swims,Teddy Swims - Everything But Therapy 2024 Tour,2024-10-16,20:00:00,USD,49.5,128.5,Abraham Chavez Theatre,El Paso,Texas
Linkin Park,In the End - Linkin Park Experience,2024-09-26,19:00:00,USD,15.0,17.0,The Depot,Salt Lake City,Utah
Linkin Park,In the End - Linkin Park Experience,2024-10-13,18:00:00,USD,17.5,17.5,House of Blues Myrtle Beach,North Myrtle Beach,South Carolina
Linkin Park,In the End - Linkin Park Experience,2025-01-24,18:00:00,USD,18.0,18.0,Marquee Theatre,Tempe,Arizona
Linkin Park,Linkin Park Experience - In The End,2024-10-05,20:00:00,USD,20.0,40.0,Impact Fuel Room,Libertyville ,Illinois
